web_scraper_order,web_scraper_start_url,pagination,name,price,rating,data,image,item_page_title,item_page_link,sku,description,badge,brand_name,product_1_category,title,stock_status,image_1
"1773452701-1","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE&currentPage=8","Essence Jel Oje No: 17","69,95 ₺","0","","https://media.watsons.com.tr/medias/sys_master/prd-images/h67/h31/9040550789150/prd-front-1327249_195x195/prd-front-1327249-195x195.png","Essence Jel Oje No: 17   
 69,95 ₺   0","https://www.watsons.com.tr/essence-jel-oje-no-17/p/BP_1327249","","","","","","ESSENCE","",""
"1773452703-2","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE&currentPage=8","Essence Jel Oje No: 33","69,95 ₺","0","","https://media.watsons.com.tr/medias/sys_master/prd-images/h84/hb9/9039360917534/prd-front-1327291_195x195/prd-front-1327291-195x195.png","Essence Jel Oje No: 33   
 69,95 ₺   0","https://www.watsons.com.tr/essence-jel-oje-no-33/p/BP_1327291","","","","","","ESSENCE","",""
"1773452706-3","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE&currentPage=8","Essence Jel Oje No: 42","69,95 ₺","0","","https://media.watsons.com.tr/medias/sys_master/prd-images/h92/h39/9040562323486/prd-front-1327305_195x195/prd-front-1327305-195x195.png","Essence Jel Oje No: 42   
 69,95 ₺   0","https://www.watsons.com.tr/essence-jel-oje-no-42/p/BP_1327305","","","","","","ESSENCE","",""
"1773452709-4","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE&currentPage=8","Essence Jel Oje No: 08","69,95 ₺","3","","https://media.watsons.com.tr/medias/sys_master/prd-images/h1a/h20/9040550264862/prd-front-1327193_195x195/prd-front-1327193-195x195.png","Essence Jel Oje No: 08   
 69,95 ₺   3","https://www.watsons.com.tr/essence-jel-oje-no-08/p/BP_1327193","","","","","","ESSENCE","",""
"1773452711-5","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE&currentPage=8","Essence Jel Oje No: 18","69,95 ₺","0","","https://media.watsons.com.tr/medias/sys_master/prd-images/hf8/h83/9040558653470/prd-front-1327256_195x195/prd-front-1327256-195x195.png","Essence Jel Oje No: 18   
 69,95 ₺   0","https://www.watsons.com.tr/essence-jel-oje-no-18/p/BP_1327256","","","","","","ESSENCE","",""
"1773452713-6","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE&currentPage=8","Essence Jel Oje No: 46","69,95 ₺","0","","https://media.watsons.com.tr/medias/sys_master/prd-images/hf5/h2f/9040584081438/prd-front-1327319_195x195/prd-front-1327319-195x195.png","Essence Jel Oje No: 46   
 69,95 ₺   0","https://www.watsons.com.tr/essence-jel-oje-no-46/p/BP_1327319","","","","","","ESSENCE","",""
"1773452716-7","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE&currentPage=8","Essence Jel Oje No: 12","69,95 ₺","0","","https://media.watsons.com.tr/medias/sys_master/prd-images/ha3/he6/9040549740574/prd-front-1327214_195x195/prd-front-1327214-195x195.png","Essence Jel Oje No: 12   
 69,95 ₺   0","https://www.watsons.com.tr/essence-jel-oje-no-12/p/BP_1327214","","","","","","ESSENCE","",""
"1773452720-8","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE&currentPage=8","Essence Jel Oje 77","69,95 ₺","0","","https://media.watsons.com.tr/medias/sys_master/prd-images/h18/h49/12430922743838/prd-front-1446732_195x195/prd-front-1446732-195x195.jpg","Essence Jel Oje 77   
 69,95 ₺   0","https://www.watsons.com.tr/essence-jel-oje-77/p/BP_1446732","1446732","OJE","","ESSENCE","Oje","Essence Jel Oje 77","Stokta Yok","https://media.watsons.com.tr/medias/sys_master/prd-images/h29/h4c/12430922678302/prd-front-1446732_1200x1200/prd-front-1446732-1200x1200.jpg"
"1773452724-9","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE&currentPage=8","Essence Gel Oje No: 70","69,95 ₺","2","","https://media.watsons.com.tr/medias/sys_master/prd-images/hba/h2c/11147811880990/prd-front-1405593_195x195/prd-front-1405593-195x195.jpg","Essence Gel Oje No: 70   
 69,95 ₺   2","https://www.watsons.com.tr/essence-gel-oje-no-70/p/BP_1405593","1405593","Essence Gel Oje No: 70","","ESSENCE","Oje","Essence Gel Oje No: 70","Stokta Yok","https://media.watsons.com.tr/medias/sys_master/prd-images/h7b/h2d/11147811815454/prd-front-1405593_1200x1200/prd-front-1405593-1200x1200.jpg"
"1773452728-10","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE","https://www.watsons.com.tr/search/essence?query=essence:most-relevant:masterBrandName:ESSENCE&currentPage=8","Essence Gel Oje No: 54","69,95 ₺","0","","https://media.watsons.com.tr/medias/sys_master/prd-images/h7a/h07/9326276018206/prd-front-1352407_195x195/prd-front-1352407-195x195.png","Essence Gel Oje No: 54   
 69,95 ₺   0","https://www.watsons.com.tr/essence-gel-oje-no-54/p/BP_1352407","1352407","Essence Gel Oje No: 54","","ESSENCE","Oje","Essence Gel Oje No: 54","Stokta Yok","https://media.watsons.com.tr/medias/sys_master/prd-images/h2f/h43/9326275952670/prd-front-1352407_1200x1200/prd-front-1352407-1200x1200.png"
