web_scraper_order,web_scraper_start_url,pagination,name,data3,image,item_page_title,item_page_link,Ingredients,product_4_category,data_2,image_1
"1773501936-1","https://www.ewg.org/skindeep/browse/brands/12717-essence/","https://www.ewg.org/skindeep/browse/brands/12717-essence/?brand=Essence&page=34","Fresh & Fit Awake Make Up, 10 Fresh Ivory  (2019 formulation)","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/577579/original.","Essence
         Fresh & Fit Awake Make Up, 10 Fresh Ivory  (2019 formulation)
      
      
        
            
              
                HIGH HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/875410-Essence_Fresh__Fit_Awake_Make_Up_10_Fresh_Ivory__2019_formulation/","WATER, CYCLOPENTASILOXANE, ISODODECANE, ALCOHOL DENAT., TALC, PROPYLENE GLYCOL, POLYGLYCERYL-4 ISOSTEARATE, CETYL PEG/PPG-10/1 DIMETHICONE, HEXYL LAURATE, CYCLOHEXASILOXANE, POTASSIUM CETYL PHOSPHATE, TOCOPHERYL ACETATE, PANTHENOL, RETINYL PALMITATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, TOCOPHEROL, TAPIOCA STARCH, NIACINAMIDE, SODIUM CHLORIDE, VACCINIUM MACROCARPON (CRANBERRY) FRUIT WATER, BEESWAX, DISODIUM EDTA, XANTHAN GUM, MICA, ETHYLHEXYLGLYCERIN, TRIETHOXYCAPRYLYLSILANE, LECITHIN, ASCORBYL PALMITATE, ALUMINUM/MAGNESIUM HYDROXIDE STEARATE, CITRIC ACID, PHENOXYETHANOL, FRAGRANCE, CI 77491 (IRON OXIDES), CI 77492 (IRON OXIDES), CI 77499 (IRON OXIDES), CI 77891 (TITANIUM DIOXIDE).","Foundation","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/577579/original."
"1773501938-2","https://www.ewg.org/skindeep/browse/brands/12717-essence/","https://www.ewg.org/skindeep/browse/brands/12717-essence/?brand=Essence&page=34","What A Tint! Lip & Cheek Tint, Peachy Vibes 03","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/856688/original.","Essence
         What A Tint! Lip & Cheek Tint, Peachy Vibes 03
      
      
        
            
              
                MODERATE HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/1321503-Essence_What_A_Tint_Lip__Cheek_Tint_Peachy_Vibes_03/",": AQUA (WATER), PROPANEDIOL, BUTYLENE GLYCOL, BETAINE, PARFUM (FRAGRANCE), GLYCERIN, PANTHENOL, SODIUM HYALURONATE, VACCINIUM VITIS-IDAEA FRUIT EXTRACT, PROPYLENE GLYCOL, ETHYLHEXYLGLYCERIN, POLYACRYLATE CROSSPOLYMER-6, LACTIC ACID, SODIUM HYDROXIDE, CITRIC ACID, PHENOXYETHANOL, CI 19140 (YELLOW 5), CI 45410 (RED 28).","Blush","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/856688/original."
"1773501941-3","https://www.ewg.org/skindeep/browse/brands/12717-essence/","https://www.ewg.org/skindeep/browse/brands/12717-essence/?brand=Essence&page=34","Eyeshadow Palette, Ice, Ice Baby!","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/591649/original.","Essence
         Eyeshadow Palette, Ice, Ice Baby!
      
      
        
            
              
                MODERATE HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/965446-Essence_Eyeshadow_Palette_Ice_Ice_Baby/","TALC, MICA, SILICA, MAGNESIUM STEARATE, DIMETHICONE, HYDROGENATED POLYISOBUTENE, POLYBUTENE, BISDIGLYCERYL POLYACYLADIPATE-2, TOCOPHERYL ACETATE, ETHYLHEXYLGLYCERIN, PHENOXYETHANOL, PARFUM (FRAGRANCE), BENZYL ALCOHOL, BENZYL BENZOATE, BENZYL SALICYLATE, HEXYL CINNAMAL, HYDROXYCITRONELLAL, MAY CONTAIN/[+/-]: CI 42090 (BLUE 1 LAKE), CI 77007 (ULTRAMARINES), CI 77492, CI 77499 (IRON OXIDES), CI 77742 (MANGANESE VIOLET), CI 77891 (TITANIUM DIOXIDE), AND/UND INGREDIENTS: MICA, SILICA, MAGNESIUM STEARATE, DIMETHICONE, HYDROGENATED POLYISOBUTENE, POLYBUTENE, BIS-DIGLYCERYL POLYACYLADIPATE-2, TOCOPHERYL ACETATE, ETHYLHEXYLGLYCERIN, PHENOXYETHANOL, PARFUM (FRAGRANCE), BENZYL ALCOHOL, BENZYL BENZOATE, BENZYL SALICYLATE, HEXYL CINNAMAL, HYDROXYCITRONELLAL, CI 42090 (BLUE 1 LAKE), CI 77007 (ULTRAMARINES), CI 77499 (IRON OXIDES). AND/UND INGREDIENTS: MICA, DIMETHICONE, MAGNESIUM STEARATE, SILICA, TRIMETHYLSILOXYSILICATE, DISILOXANE, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, TOCOPHERYL ACETATE, ETHYLHEXYLGLYCERIN, PHENOXYETHANOL, PARFUM (FRAGRANCE), BENZYL ALCOHOL, BENZYL BENZOATE, BENZYL SALICYLATE, HEXYL CINNAMAL, HYDROXYCITRONELLAL, MAY CONTAIN/[+/-]: CL 77007 (ULTRAMARINES), CI 77491, CI 77492, CI 77499 (IRON OXIDES), CI 77891 (TITANIUM DIOXIDE). AND/UND INGREDIENTS: MICA, DIMETHICONE, MAGNESIUM STEARATE, TRIMETHYLSILOXYSILICATE, DISILOXANE, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, TOCOPHERYL ACETATE, ETHYLHEXYLGLYCERIN, PHENOXYETHANOL, PARFUM (FRAGRANCE), BENZYL ALCOHOL, BENZYL BENZOATE, BENZYL SALICYLATE, HEXYL CINNAMAL, HYDROXYCITRONELLAL, CI 77007 (ULTRAMARINES), CI 77499 (IRON OXIDES), CI 77742 (MANGANESE VIOLET), CI 77891 (TITANIUM DIOXIDE).","Eye Shadow","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/591649/original."
"1773501945-4","https://www.ewg.org/skindeep/browse/brands/12717-essence/","https://www.ewg.org/skindeep/browse/brands/12717-essence/?brand=Essence&page=34","Pure Nude Make Up, Honey (2019 formulation)","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/607225/original.","Essence
         Pure Nude Make Up, Honey (2019 formulation)
      
      
        
            
              
                MODERATE HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/858024-Essence_Pure_Nude_Make_Up_Honey_2019_formulation/","AQUA (WATER), CYCLOPENTASILOXANE, ALUMINUM STARCH OCTENYLSUCCINATE, GLYCERIN, PROPYLENE GLYCOL, HYDROGENATED POLYDECENE, NYLON-12, PEG-12 DIMETHICONE CROSSPOLYMER, PANTHENOL, TOCOPHERYL ACETATE, ZINC PCA, ASCORBYL PALMITATE, ENTEROMORPHA COMPRESSA EXTRACT, HYDROLYZED CAESALPINIA SPINOSA GUM, DIMETHYLIMIDAZOLIDINONE RICE STARCH, SODIUM HYALURONATE, NIACINAMIDE, MAGNESIUM ASPARTATE, ZINC GLUCONATE, CAESALPINIA SPINOSA GUM, COPPER GLUCONATE, PEG-12 DIMETHICONE, DIMETHICONE CROSSPOLYMER, METHYL METHACRYLATE CROSSPOLYMER, VP/HEXADECENE COPOLYMER, SODIUM CHLORIDE, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, TRIETHOXYCAPRYLYLSILANE, BUTYLPHENYL METHYLPROPIONAL, ALUMINA, FRAGRANCE, LIMONENE, LINALOOL, CI 77491, CI 77492, CI 77499 (IRON OXIDES), CI 77891 (TITANIUM DIOXIDE).","Foundation","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/607225/original."
"1773501948-5","https://www.ewg.org/skindeep/browse/brands/12717-essence/","https://www.ewg.org/skindeep/browse/brands/12717-essence/?brand=Essence&page=34","De Beaute Collagen & Vitamin E Face and Body Cream","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/812757/original.","Essence
         De Beaute Collagen & Vitamin E Face and Body Cream 
      
      
        
            
              
                MODERATE HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/2953460-Essence_De_Beaute_Collagen__Vitamin_E_Face_and_Body_Cream_/","Aqua, Fragrance (Parfum), Disodium EDTA, Panthenol, Allantoin, Inositol, Calcium Pantothenate, Alcohol Denat., Equisetum Arvense Extract, Betula Alba Leaf Extract, Betula Alba Juice, Salvia Officinalis (Sage) Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Achillea Millefolium Extract, Urtica Dioica (Nettle) Extract, Tussilago Farfara (Coltsfoot) Leaf Extract, Lactic Acid, Butylene Glycol, Ethoxydiglycol, Glycolipids, Sodium Hyaluronate, Viola Tricolor Extract, Avena Sativa (Oat) Kernel Extract, Rosa Moschata Seed Oil, Ginkgo Biloba Leaf Extract, Bisabolol, Hexylene Glycol, Ethylhexylglycerin, Xanthan Gum, Caprylyl Glycol, Phenoxyethanol, Polysorbate 60, Isohexadecane, Sodium Acrylate/Acryloyldimethyltaurate/Dimethylacrylamide Crosspolymer, Soluble Collagen, Butyrospermum Parkii (Shea) Butter, Tridecyl Stearate, Tridecyl Trimellitate, Neopentyl Glycol Dicaprylate/Dicaprate, Stearic Acid, Cetyl Alcohol, C12-15 Alkyl Benzoate, Glyceryl Stearate, PEG-100 Stearate, Propylene Glycol, Mineral Oil, Glycerin","Moisturizer","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/812757/original."
"1773501951-6","https://www.ewg.org/skindeep/browse/brands/12717-essence/","https://www.ewg.org/skindeep/browse/brands/12717-essence/?brand=Essence&page=34","Taupe It Up! Eyeshadow Palette","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/605664/original.","Essence
         Taupe It Up! Eyeshadow Palette
      
      
        
            
              
                MODERATE HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/963552-Essence_Taupe_It_Up_Eyeshadow_Palette/","TALC, MICA, SILICA, MAGNESIUM STEARATE, DIMETHICONE, HYDROGENATED POLYISOBUTENE, POLYBUTENE, BIS-DIGLYCERYL POLYACYLADIPATE-2, TOCOPHERYL ACETATE, ETHYLHEXYLGLYCERIN, BENZYL SALICYLATE, PHENOXYETHANOL, BENZYL ALCOHOL, PARFUM (FRAGRANCE), BENZYL BENZOATE, HEXYL CINNAMAL, HYDROXYCITRONELLAL, MAY CONTAIN/ [+/-]: CI 77007 (ULTRAMARINES), CI 77491, CI 77492, CI 77499 (IRON OXIDES), CI 77891 (TITANIUM DIOXIDE). AND/UND INGREDIENTS: MICA, DIMETHICONE, MAGNESIUM STEARATE, SILICA, TRIMETHYLSILOXYSILICATE, DISILOXANE, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, TOCOPHERYL ACETATE, ETHYLHEXYLGLYCERIN, PHENOXYETHANOL PARFUM (FRAGRANCE), BENZYL ALCOHOL, BENZYL BENZOATE, BENZYL SALICYLATE, HEXYL CINNAMAL, HYDROXYCITRONELLAL, MAY CONTAIN/[+/-]: CI 42090 (BLUE 1 LAKE), CI 77491, CI 77492, CI 77499 (IRON OXIDES), CI 77891 (TITANIUM DIOXIDE).","Eye Shadow","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/605664/original."
"1773501953-7","https://www.ewg.org/skindeep/browse/brands/12717-essence/","https://www.ewg.org/skindeep/browse/brands/12717-essence/?brand=Essence&page=33","Pure Nude Make Up, 20 Pure Sand (2019 formulation)","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://static.ewg.org/skindeep/img/missing_images/sd_logo.png","Essence
         Pure Nude Make Up, 20 Pure Sand (2019 formulation)
      
      
        
            
              
                MODERATE HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/858019-Essence_Pure_Nude_Make_Up_20_Pure_Sand_2019_formulation/","AQUA (WATER), CYCLOPENTASILOXANE, ALUMINUM STARCH OCTENYLSUCCINATE, GLYCERIN, PROPYLENE GLYCOL, HYDROGENATED POLYDECENE, NYLON-12, PEG-12 DIMETHICONE CROSSPOLYMER, PANTHENOL, TOCOPHERYL ACETATE, ZINC PCA, ASCORBYL PALMITATE, ENTEROMORPHA COMPRESSA EXTRACT, HYDROLYZED CAESALPINIA SPINOSA GUM, DIMETHYLIMIDAZOLIDINONE RICE STARCH, SODIUM HYALURONATE, NIACINAMIDE, MAGNESIUM ASPARTATE, ZINC GLUCONATE, CAESALPINIA SPINOSA GUM, COPPER GLUCONATE, PEG-12 DIMETHICONE, DIMETHICONE CROSSPOLYMER, METHYL METHACRYLATE CROSSPOLYMER, VP/HEXADECENE COPOLYMER, SODIUM CHLORIDE, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, TRIETHOXYCAPRYLYLSILANE, BUTYLPHENYL METHYLPROPIONAL, ALUMINA, FRAGRANCE, LIMONENE, LINALOOL, CI 77491, CI 77492, CI 77499 (IRON OXIDES), CI 77891 (TITANIUM DIOXIDE).","Foundation","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://static.ewg.org/skindeep/img/missing_images/sd_logo.png"
"1773501956-8","https://www.ewg.org/skindeep/browse/brands/12717-essence/","https://www.ewg.org/skindeep/browse/brands/12717-essence/?brand=Essence&page=33","JUICY BOMB PARTY shiny lipgloss, Bubblegum Bliss","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/856661/original.","Essence
         JUICY BOMB PARTY shiny lipgloss, Bubblegum Bliss
      
      
        
            
              
                MODERATE HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/650238-Essence_JUICY_BOMB_PARTY_shiny_lipgloss_Bubblegum_Bliss/","ETHYLHEXYL PALMITATE, POLYBUTENE, ARGANIA SPINOSA KERNEL OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, HYDROGENATED POLYISOBUTENE, SILICA DIMETHYL SILYLATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, TRIBEHENIN, ETHYLHEXYLGLYCERIN, PHENOXYETHANOL, PARFUM (FRAGRANCE), CITRUS AURANTIUM PEEL OIL, LINALYL ACETATE, LIMONENE, VANILLIN, ANETHOLE, DIMETHYL PHENETHYL ACETATE, LINALOOL, CI 15850 (RED 6 LAKE), CI 42090 (BLUE 1 LAKE), CI 77492 (IRON OXIDES), CI 77742 (MANGANESE VIOLET), CI 77891 (TITANIUM DIOXIDE).","Lip Gloss","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/856661/original."
"1773501959-9","https://www.ewg.org/skindeep/browse/brands/12717-essence/","https://www.ewg.org/skindeep/browse/brands/12717-essence/?brand=Essence&page=33","Pure Nude Make Up, 10 Pure Beige (2019 formulation)","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/607223/original.","Essence
         Pure Nude Make Up, 10 Pure Beige (2019 formulation)
      
      
        
            
              
                MODERATE HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/858030-Essence_Pure_Nude_Make_Up_10_Pure_Beige_2019_formulation/","AQUA (WATER), CYCLOPENTASILOXANE, ALUMINUM STARCH OCTENYLSUCCINATE, GLYCERIN, PROPYLENE GLYCOL, HYDROGENATED POLYDECENE, NYLON-12, PEG-12 DIMETHICONE CROSSPOLYMER, PANTHENOL, TOCOPHERYL ACETATE, ZINC PCA, ASCORBYL PALMITATE, ENTEROMORPHA COMPRESSA EXTRACT, HYDROLYZED CAESALPINIA SPINOSA GUM, DIMETHYLIMIDAZOLIDINONE RICE STARCH, SODIUM HYALURONATE, NIACINAMIDE, MAGNESIUM ASPARTATE, ZINC GLUCONATE, CAESALPINIA SPINOSA GUM, COPPER GLUCONATE, PEG-12 DIMETHICONE, DIMETHICONE CROSSPOLYMER, METHYL METHACRYLATE CROSSPOLYMER, VP/HEXADECENE COPOLYMER, SODIUM CHLORIDE, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, TRIETHOXYCAPRYLYLSILANE, BUTYLPHENYL METHYLPROPIONAL, ALUMINA, FRAGRANCE, LIMONENE, LINALOOL, CI 77491, CI 77492, CI 77499 (IRON OXIDES), CI 77891 (TITANIUM DIOXIDE).","Foundation","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/607223/original."
"1773501962-10","https://www.ewg.org/skindeep/browse/brands/12717-essence/","https://www.ewg.org/skindeep/browse/brands/12717-essence/?brand=Essence&page=33","JUICY BOMB PARTY jelly blush, 01 Cassis Crush","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/856821/original.","Essence
         JUICY BOMB PARTY jelly blush, 01 Cassis Crush
      
      
        
            
              
                MODERATE HAZARD
              Data Availability: Limited","https://www.ewg.org/skindeep/products/9327595-Essence_JUICY_BOMB_PARTY_jelly_blush_01_Cassis_Crush/",": SQUALANE, OCTYLDODECANOL, RICINUS COMMUNIS (CASTOR) SEED OIL, SILICA DIMETHYL SILYLATE, SHOREA ROBUSTA RESIN, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, DISTEARDIMONIUM HECTORITE, PARFUM (FRAGRANCE), TOCOPHEROL, PROPYLENE CARBONATE, GLYCERYL CAPRYLATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, KAOLIN, ROSE KETONES, VANILLIN, CI 45410 (RED 27 LAKE), CI 77742 (MANGANESE VIOLET).","Blush","Essence","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/856821/original."
